ID	HINT	HINT	ANSWER	ISNAME
	id	Line	Station	
i0001	wannsee	S1	Wannsee	N
i0002	nikolassee	S1	Nikolassee	N
i0003	schlachtensee	S1	Schlachtensee	N
i0004	mexikoplatz	S1	Mexikoplatz	N
i0005	zehlendorf	S1	Zehlendorf	N
i0006	sundgauerstraße	S1	Sundgauer Straße	N
i0007	lichterfeldewest	S1	Lichterfelde West	N
i0008	botanischergarten	S1	Botanischer Garten	N
i0009	rathaussteglitz	S1	Rathaus Steglitz	N
i0010	feuerbachstraße	S1	Feuerbachstraße	N
i0011	friedenau	S1	Friedenau	N
i0012	schoneberg	S1	Schöneberg	N
i0013	juliusleberbrucke	S1	Julius-Leber-Brücke	N
i0014	yorckstraße	S1	Yorckstraße	N
i0015	anhalterbahnhof	S1	Anhalter Bahnhof	N
i0016	potsdamerplatz	S1	Potsdamer Platz	N
i0017	brandenburgertor	S1	Brandenburger Tor	N
i0018	friedrichstraße	S1	Friedrichstraße	N
i0019	oranienburgerstraße	S1	Oranienburger Straße	N
i0020	nordbahnhof	S1	Nordbahnhof	N
i0021	humboldthain	S1	Humboldthain	N
i0022	gesundbrunnen	S1	Gesundbrunnen	N
i0023	bornholmerstraße	S1	Bornholmer Straße	N
i0024	wollankstraße	S1	Wollankstraße	N
i0025	schonholz	S1	Schönholz	N
i0026	wilhelmsruh	S1	Wilhelmsruh	N
i0027	wittenau	S1	Wittenau	N
i0028	waidmannslust	S1	Waidmannslust	N
i0029	hermsdorf	S1	Hermsdorf	N
i0030	frohnau	S1	Frohnau	N
i0031	hohenneuendorf	S1	Hohen Neuendorf	N
i0032	birkenwerder	S1	Birkenwerder	N
i0033	borgsdorf	S1	Borgsdorf	N
i0034	lehnitz	S1	Lehnitz	N
i0035	oranienburg	S1	Oranienburg	N
i0036	blankenfelde	S2	Blankenfelde	N
i0037	mahlow	S2	Mahlow	N
i0038	lichtenrade	S2	Lichtenrade	N
i0039	schichauweg	S2	Schichauweg	N
i0040	buckowerchaussee	S2	Buckower Chaussee	N
i0041	marienfelde	S2	Marienfelde	N
i0042	attilastraße	S2	Attilastraße	N
i0043	priesterweg	S2	Priesterweg	N
i0044	sudkreuz	S2	Südkreuz	N
i0045	yorckstraße	S2	Yorckstraße	N
i0046	anhalterbahnhof	S2	Anhalter Bahnhof	N
i0047	potsdamerplatz	S2	Potsdamer Platz	N
i0048	brandenburgertor	S2	Brandenburger Tor	N
i0049	friedrichstraße	S2	Friedrichstraße	N
i0050	oranienburgerstraße	S2	Oranienburger Straße	N
i0051	nordbahnhof	S2	Nordbahnhof	N
i0052	humboldthain	S2	Humboldthain	N
i0053	gesundbrunnen	S2	Gesundbrunnen	N
i0054	bornholmerstraße	S2	Bornholmer Straße	N
i0055	pankow	S2	Pankow	N
i0056	pankowheinersdorf	S2	Pankow-Heinersdorf	N
i0057	blankenburg	S2	Blankenburg	N
i0058	karow	S2	Karow	N
i0059	buch	S2	Buch	N
i0060	rontgental	S2	Röntgental	N
i0061	zepernick	S2	Zepernick	N
i0062	bernaufriedenstal	S2	Bernau-Friedenstal	N
i0063	bernau	S2	Bernau	N
i0064	erkner	S3	Erkner	N
i0065	wilhelmshagen	S3	Wilhelmshagen	N
i0066	rahnsdorf	S3	Rahnsdorf	N
i0067	friedrichshagen	S3	Friedrichshagen	N
i0068	hirschgarten	S3	Hirschgarten	N
i0069	kopenick	S3	Köpenick	N
i0070	wuhlheide	S3	Wuhlheide	N
